ARLHILJQ	42.14352	-88.00083
BURGILAH	41.75437	-87.92848
CHCGILWU	41.87506	-87.62723
CRTNTX35	32.92035	-96.92092
CYCMCALL	33.98599	-118.14678
DTRTMIAP	42.44119	-83.27185
DTRTMIPM	42.33402	-83.05556
EKGVILAA	42.03780	-87.97125
GAHGOHBT	41.42823	-81.57442
LPTPPAMA	40.12130	-75.41032
LSANCA03	34.05028	-118.25100
LSANCA54	34.04645	-118.25733
LSANCARC	34.05028	-118.25100
MRMRFL09	25.97734	-80.27601
NYCMNY50	40.76212	-73.99096
NYCMNY83	40.73846	-73.99951
NYCMNYAA	40.71843	-74.00442
NYCMNYBW	40.71479	-74.00806
OKLDCA61	37.80366	-122.28823
PRRNFLAE	25.65202	-80.38285
RCPKNJ02	40.91238	-74.07528
RSWLGADI	33.83839	-84.37854
SCBGILRR	42.05561	-88.05618
SFLEMIFX	42.44611	-83.25922
SNDGCA51	32.82480	-117.18015
TOROON06	43.67466	-79.38414
WNRTPAAH	40.12371	-75.36362
